Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra Óptica,Otros,Satelital,Wimax,Wireless,Total General
Tucumán,Famaillá,Famaillá,12,0,0,117,0,1,0,80,210
Tucumán,Graneros,Graneros,0,0,0,0,0,3,0,15,18
Tucumán,Graneros,Lamadrid,0,0,0,4,0,2,0,21,27
Tucumán,Graneros,Taco Ralo,0,0,0,0,0,0,0,36,36
Tucumán,Juan Bautista Alberdi,Juan Bautista Alberdi,168,0,0,0,0,1,0,0,169
Tucumán,La Cocha,La Cocha,339,0,0,0,0,4,0,4,347
Tucumán,La Cocha,San José de La Cocha,0,0,0,0,0,2,0,1,3
Tucumán,Leales,Bella Vista,13,0,0,95,4,0,0,55,167
Tucumán,Leales,Manuel García Fernández,42,0,0,0,0,0,0,0,42
Tucumán,Leales,Pala Pala,0,0,0,0,0,1,0,15,16
Tucumán,Leales,Río Colorado,0,0,0,0,0,0,0,85,85
Tucumán,Leales,Santa Rosa de Leales,0,0,0,0,0,0,0,30,30
Tucumán,Leales,Villa de Leales,0,0,0,0,0,0,0,30,30
Tucumán,Leales,Villa Fiad - Ingenio Leales,0,0,0,0,0,0,0,15,15
Tucumán,Lules,El Manantial,0,5,0,253,1,0,0,29,288
Tucumán,Lules,Ingenio San Pablo,757,0,0,193,0,0,0,187,1137
Tucumán,Lules,La Reducción,379,0,0,0,0,0,0,0,379
Tucumán,Lules,Lules,193,2,0,726,3,0,0,415,1339
Tucumán,Monteros,Acheral,13,0,0,145,0,0,0,11,169
Tucumán,Monteros,Monteros,181,0,0,20,0,0,0,226,427
Tucumán,Monteros,Pueblo Independencia,4,0,0,0,0,0,0,0,4
Tucumán,Monteros,Río Seco,13,0,0,6,0,0,0,330,349
Tucumán,Monteros,Santa Lucía,2,0,0,0,0,0,0,13,15
Tucumán,Monteros,Villa Quinteros,13,0,0,0,0,0,0,391,404
Tucumán,Monteros,Capitán Cáceres,0,0,0,0,0,0,0,40,40
Tucumán,Monteros,Sargento Moya,0,0,0,0,0,0,0,29,29
Tucumán,Monteros,Teniente Berdina,0,0,0,0,0,0,0,26,26
Tucumán,Otros,Otros,0,0,0,0,9,0,0,0,9
Tucumán,Río Chico,Aguilares,245,0,0,0,0,0,0,93,338
Tucumán,Río Chico,Los Sarmientos,41,0,0,0,0,0,0,0,41
Tucumán,Río Chico,Santa Ana,2,0,0,0,0,0,0,0,2
Tucumán,Simoca,Simoca,0,0,0,0,0,0,0,71,71
Tucumán,Simoca,Atahona,0,0,0,0,0,0,0,15,15
Tucumán,Simoca,Monteagudo,0,0,0,0,0,0,0,17,17
Tucumán,Simoca,Nueva Trinidad,0,0,0,0,0,0,0,68,68
Tucumán,Simoca,Villa Chicligasta,0,0,0,0,0,0,0,221,221
Tucumán,Tafí del Valle,Amaicha del Valle,0,0,0,419,0,1,0,138,558
Tucumán,Tafí del Valle,Colalao del Valle,0,0,0,0,0,0,0,56,56
Tucumán,Tafí del Valle,El Mollar,0,0,0,0,0,1,0,11,12
Tucumán,Tafí del Valle,Tafí del Valle,158,0,0,0,1,1,0,98,258
Tucumán,Tafí Viejo,Barrio Lomas de Tafí,301,0,0,0,0,0,0,0,301
Tucumán,Tafí Viejo,Barrio Mutual San Martín,22,0,0,0,0,0,0,0,22
Tucumán,Tafí Viejo,Tafí Viejo,504,632,0,728,11,0,0,8,1883
Tucumán,Tafí Viejo,Diagonal Norte - Luz Y Fuerza - Los Pocitos - Villa Nueva Italia (6),0,0,0,373,0,0,0,0,373
Tucumán,Tafí Viejo,Villa Mariano Moreno - El Colmenar,0,31,0,373,0,0,0,0,404
Tucumán,Trancas,San Pedro de Colalao,0,0,0,0,0,0,0,313,313
Tucumán,Trancas,Villa de Trancas,126,0,0,0,33,0,0,101,260
Tucumán,Yerba Buena,Villa Carmela,15,0,0,0,1,0,0,97,113
Tucumán,Yerba Buena,Yerba Buena - Marcos Paz,129,209,0,154,33,0,0,0,525
